n,wr,total_pips,pf,avg,tf,pair,strat,params,spread,bars
51,45.09803921568628,9847.461391761954,1.1397559851923023,193.08747826984222,M30,XAUUSD,ema_macd,"(5, 13, 30, 14, 1.5, 2.0)",28,5000
18,44.44444444444444,4396.385632021065,1.1786980121918582,244.24364622339252,M15,XAUUSD,supertrend,"(20, 3.0, 21, 2.0, 3.5)",28,5000
18,44.44444444444444,262.22772883343856,1.2237206561029308,14.568207157413253,D1,AUDUSD,ema_macd,"(5, 13, 50, 14, 2.0, 3.0)",9,2284
41,43.90243902439025,-6209.337816800235,0.9310843633415564,-151.44726382439598,M30,XAUUSD,supertrend,"(10, 2.0, 14, 2.0, 3.0)",28,5000
62,43.54838709677419,1072.5893018434938,1.1972323210391174,17.29982744908861,D1,EURUSD,donchian,"(100, 21, 2.0, 3.0)",0,3730
67,43.28358208955223,16661.905147442347,1.341160415111937,248.6851514543634,M15,XAUUSD,ema_macd,"(5, 13, 30, 14, 1.5, 2.0)",28,5000
118,43.22033898305085,74546.93263373189,1.3650277034046436,631.7536663875584,M30,XAUUSD,keltner,"(14, 1.5, 14, 1.5, 2.5)",28,5000
51,43.13725490196079,710.3387026401055,1.1205556740689044,13.928209855688342,D1,GBPUSD,keltner,"(30, 2.0, 21, 2.0, 3.0)",8,2284
86,43.02325581395349,2054.422267985956,1.0202391060532439,23.88863102309251,M15,XAUUSD,keltner,"(50, 2.0, 21, 2.0, 3.0)",28,5000
128,42.96875,97150.96727864325,1.46128308521665,758.9919318644004,M30,XAUUSD,keltner,"(20, 1.5, 14, 1.5, 2.5)",28,5000
7,42.857142857142854,360.9845251060916,1.5076505717811188,51.5692178722988,D1,GBPUSD,ema_macd,"(5, 13, 100, 21, 2.0, 3.5)",8,2284
42,42.857142857142854,-2226.356761140596,0.96815303756312,-53.008494312871335,M30,XAUUSD,supertrend,"(7, 2.0, 14, 1.5, 2.5)",28,5000
14,42.857142857142854,-2481.864527322432,0.9418920711449329,-177.276037665888,M30,XAUUSD,supertrend,"(14, 3.0, 14, 2.5, 4.0)",28,5000
42,42.857142857142854,-2839.4383683195883,0.9605932829655808,-67.60567543618068,M30,XAUUSD,supertrend,"(10, 2.0, 14, 1.5, 2.5)",28,5000
47,42.5531914893617,13250.035558787658,1.3266229832424394,281.91565018697145,M15,XAUUSD,supertrend,"(7, 2.0, 14, 1.5, 2.5)",28,5000
48,41.66666666666667,11778.366249776991,1.2772790351580565,245.3826302036873,M15,XAUUSD,supertrend,"(10, 2.0, 14, 1.5, 2.5)",28,5000
41,41.46341463414634,198.77318936111013,1.0634625095194548,4.848126569783174,D1,AUDUSD,keltner,"(30, 2.0, 21, 2.0, 3.0)",9,2284
58,41.37931034482759,21528.428026133995,1.7482039097816107,371.1797935540344,M15,XAUUSD,ema_macd,"(3, 8, 50, 14, 1.0, 1.8)",28,5000
92,41.30434782608695,-8084.518767548567,0.9317551382729807,-87.87520399509312,M15,XAUUSD,keltner,"(30, 2.0, 21, 2.0, 3.0)",28,5000
34,41.17647058823529,-24.29701320617599,0.9907837506997988,-0.7146180354757644,D1,EURUSD,ema_macd,"(3, 10, 50, 14, 1.5, 2.5)",0,3730
95,41.05263157894737,18742.128648684273,1.227016766316463,197.28556472299235,M15,XAUUSD,supertrend,"(5, 1.5, 14, 1.5, 2.5)",28,5000
61,40.98360655737705,664.6082028194501,1.146684286686575,10.895216439663116,D1,EURUSD,supertrend,"(5, 1.5, 14, 1.5, 2.5)",0,3730
27,40.74074074074074,302.35121900604736,1.1588778619394933,11.198193296520273,D1,EURUSD,ema_macd,"(5, 13, 50, 14, 1.5, 2.5)",0,3730
150,40.666666666666664,1434.0681762500583,1.129524332483104,9.560454508333722,D1,EURUSD,rsi,"(14, 70, 30, 14, 1.5, 2.5)",0,3730
20,40.0,141.57620208309794,1.1105096327852555,7.078810104154897,D1,GBPUSD,ema_macd,"(3, 8, 50, 14, 1.0, 1.8)",8,2284
5,40.0,-37.34072807936258,0.9467723035299,-7.4681456158725155,D1,GBPUSD,supertrend,"(14, 2.5, 14, 2.0, 3.0)",8,2284
60,40.0,-262.5613612695756,0.9553035877070313,-4.376022687826261,D1,EURUSD,keltner,"(50, 2.0, 21, 2.0, 3.0)",0,3730
93,39.784946236559136,-369.23862578361997,0.9594896580966944,-3.9703078041249458,D1,EURUSD,donchian,"(50, 21, 2.0, 3.0)",0,3730
38,39.473684210526315,-7169.183661718125,0.9257241178275423,-188.66272793995066,M30,XAUUSD,supertrend,"(10, 2.0, 14, 2.5, 4.0)",28,5000
61,39.34426229508197,363.42328372332514,1.0639373220354273,5.957758749562707,D1,GBPUSD,keltner,"(14, 1.5, 14, 1.5, 2.5)",8,2284
56,39.285714285714285,165.75466775141928,1.0253821835827897,2.9599047812753443,D1,GBPUSD,donchian,"(50, 21, 2.0, 3.0)",8,2284
18,38.88888888888889,-19237.341892205677,0.6115108204722705,-1068.7412162336486,M30,XAUUSD,supertrend,"(10, 3.0, 14, 2.0, 3.0)",28,5000
67,38.80597014925373,803.3949987809731,1.1614187690076212,11.9909701310593,D1,EURUSD,rsi,"(14, 80, 20, 14, 1.5, 2.5)",0,3730
155,38.70967741935484,1591.0894450863514,1.1401126759631737,10.265093194105493,D1,EURUSD,donchian,"(20, 14, 1.5, 2.5)",0,3730
124,38.70967741935484,-14058.7980436394,0.9512418781030901,-113.37740357773708,M30,XAUUSD,rsi,"(14, 75, 25, 14, 2.0, 3.0)",28,5000
31,38.70967741935484,-20221.355668705834,0.7388951844314532,-652.3017957647043,M30,XAUUSD,supertrend,"(10, 2.5, 14, 2.0, 3.0)",28,5000
31,38.70967741935484,-20221.355668705834,0.7388951844314532,-652.3017957647043,M30,XAUUSD,supertrend,"(14, 2.5, 14, 2.0, 3.0)",28,5000
75,38.666666666666664,-7767.696560538388,0.92108443686526,-103.56928747384518,M15,XAUUSD,donchian,"(100, 21, 2.0, 3.0)",28,5000
